,timestamps,symbol1,symbol2,pnl,ai_position,vr_position,ratio,beta
11453,2025-02-24 22:54:00,0.3038,1.0248,0.0,1,-1,-0.037604661697421604,0.7856931339179577
11454,2025-02-24 22:55:00,0.3032,1.024,0.0,1,-1,-0.0368331175173513,0.785684296469686
11455,2025-02-24 22:56:00,0.3025,1.0232,0.0,1,-1,-0.03579959746660566,0.7856750318671523
11456,2025-02-24 22:57:00,0.2984,1.0118,0.0,1,-1,-0.036282928644901014,0.7856661670474014
11457,2025-02-24 22:58:00,0.2937,0.9986,0.0,1,-1,-0.036942419092899526,0.785657946473475
11458,2025-02-24 22:59:00,0.2951,1.0106,0.0,1,-1,-0.02873481293795943,0.7856485058571459
11459,2025-02-24 23:00:00,0.297,1.0106,0.0,1,-1,-0.033778016189550675,0.7856397553872512
11460,2025-02-24 23:01:00,0.2954,1.0137,0.0,1,-1,-0.026472942904246843,0.7856300967610886
11461,2025-02-24 23:02:00,0.2969,1.0147,0.0,1,-1,-0.02946751927171809,0.7856206208991854
11462,2025-02-24 23:03:00,0.297,1.0157,0.0,1,-1,-0.028748490823939266,0.7856108892457754
11463,2025-02-24 23:04:00,0.3012,1.0224,0.0,1,-1,-0.03320658685142819,0.7856016356749144
11464,2025-02-24 23:05:00,0.2978,1.018,0.0,1,-1,-0.028602352369591078,0.785592299418447
11465,2025-02-24 23:06:00,0.3001,1.0213,0.0,1,-1,-0.031411101214306014,0.785583228007303
11466,2025-02-24 23:07:00,0.3016,1.025,0.0,1,-1,-0.03171265961595471,0.7855742849765798
11467,2025-02-24 23:08:00,0.3032,1.0299,0.0,1,-1,-0.031101026379808938,0.7855654343766334
11468,2025-02-24 23:09:00,0.3035,1.0331,0.0,1,-1,-0.02877673535681735,0.7855563910163983
11469,2025-02-24 23:10:00,0.3015,1.0304,0.0,1,-1,-0.026201119112009064,0.7855473435451841
11470,2025-02-24 23:11:00,0.3025,1.0373,0.0,1,-1,-0.02212971391147245,0.7855375188281024
11471,2025-02-24 23:12:00,0.3024,1.0343,0.0,1,-1,-0.024767630339618152,0.7855282508834008
11472,2025-02-24 23:13:00,0.3024,1.0334,0.0,1,-1,-0.025639477901770236,0.7855188803435144
11473,2025-02-24 23:14:00,0.3021,1.0281,0.0,1,-1,-0.030002725226818683,0.785510135834716
11474,2025-02-24 23:15:00,0.2998,1.0255,0.0,1,-1,-0.02653296434951835,0.785500749755883
